Team,Season,coach_season_win_rate,coach_career_win_rate
ATL,1985,0.448696383516,0.542621448213
ATL,1986,0.504020369874,0.542621448213
ATL,1987,0.631868131868,0.542621448213
ATL,1988,0.63303717559,0.542621448213
ATL,1989,0.608217168012,0.542621448213
ATL,1990,0,0.418972332016
ATL,1991,0.51724137931,0.418972332016
ATL,1992,0.48215010142,0.418972332016
ATL,1993,0.64652014652,0.531631097561
ATL,1994,0.64652014652,0.531631097561
ATL,1995,0.580392156863,0.531631097561
ATL,1996,0.521784098255,0.531631097561
ATL,1997,0.604395604396,0.531631097561
ATL,1998,0.626181957577,0.531631097561
ATL,1999,0.584647221127,0.531631097561
ATL,2000,0,0.361256544503
ATL,2001,0.30487804878,0.361256544503
ATL,2002,0.353658536585,0.370409294149
ATL,2003,0.436363636364,0.379562043796
BOS,1985,0.735598705502,0.661184210526
BOS,1986,0.778932038835,0.661184210526
BOS,1987,0.752857142857,0.661184210526
BOS,1988,0,0.413427561837
BOS,1989,0.494117647059,0.413427561837
BOS,1990,0,0.461538461538
BOS,1991,0.663043478261,0.461538461538
BOS,1992,0.637973352034,0.461538461538
BOS,1993,0.591335333833,0.461538461538
BOS,1994,0.48000567215,0.461538461538
BOS,1995,0,0.292682926829
BOS,1996,0.40243902439,0.292682926829
BOS,1997,0,0.465882352941
BOS,1998,0.439024390244,0.465882352941
BOS,1999,0.409512195122,0.465882352941
BOS,2000,0.403414634146,0.500546810273
BOS,2001,0.5,0.535211267606
BOS,2002,0.545918367347,0.535211267606
BOS,2003,0.556787932564,0.442605633803
CHI,1985,0.51587602783,0.525889967638
CHI,1986,0,0.528158295282
CHI,1987,0.470588235294,0.528158295282
CHI,1988,0.528772378517,0.528158295282
CHI,1989,0,0.72341954023
CHI,1990,0.663265306122,0.72341954023
CHI,1991,0.7154710369,0.72341954023
CHI,1992,0.778069153069,0.72341954023
CHI,1993,0.750666412795,0.72341954023
CHI,1994,0.687957382695,0.72341954023
CHI,1995,0.614130434783,0.72341954023
CHI,1996,0.717608695652,0.72341954023
CHI,1997,0.850841584158,0.72341954023
CHI,1998,0,0.283536585366
CHI,1999,0.26,0.283536585366
CHI,2000,0.233658536585,0.283536585366
CHI,2001,0.19512195122,0.310642464868
CHI,2002,0.309090909091,0.337748344371
CHI,2003,0.388380215353,0.42434862474
CHA,1985,0,0
CHA,1986,0,0
CHA,1987,0,0
CHA,1988,0,0.229508196721
CHA,1989,0.243902439024,0.256689582232
CHA,1990,0.261904761905,0.283870967742
CHA,1991,0,0.501182033097
CHA,1992,0.378048780488,0.501182033097
CHA,1993,0.45276065398,0.501182033097
CHA,1994,0.513736263736,0.501182033097
CHA,1995,0.546511627907,0.501182033097
CHA,1996,0,0.453296703297
CHA,1997,0.635294117647,0.453296703297
CHA,1998,0.619844861021,0.458592796093
CHA,1999,0.628571428571,0.463888888889
CHA,2000,0.604983388704,0.463888888889
CHA,2001,0.573306370071,0.463888888889
CHA,2002,0,0
CHA,2003,0,0
CLE,1985,0.43023255814,0.429632408102
CLE,1986,0.378048780488,0.531631097561
CLE,1987,0.378048780488,0.531631097561
CLE,1988,0.441897953462,0.531631097561
CLE,1989,0.591954022989,0.531631097561
CLE,1990,0.591954022989,0.531631097561
CLE,1991,0.454093075414,0.531631097561
CLE,1992,0.534552845528,0.531631097561
CLE,1993,0,0.542621448213
CLE,1994,0.552941176471,0.542621448213
CLE,1995,0.532284541724,0.542621448213
CLE,1996,0.532284541724,0.542621448213
CLE,1997,0.532568149211,0.542621448213
CLE,1998,0.535167328417,0.542621448213
CLE,1999,0,0.378048780488
CLE,2000,0.390243902439,0.378048780488
CLE,2001,0,0.403587443946
CLE,2002,0.353658536585,0.314293721973
CLE,2003,0.542145354645,0.463888888889
DAL,1985,0.517062689585,0.476900866218
DAL,1986,0.527932254803,0.476900866218
DAL,1987,0.391550522648,0.514675767918
DAL,1988,0.51461038961,0.514675767918
DAL,1989,0.549889135255,0.430671217292
DAL,1990,0.567567567568,0.346666666667
DAL,1991,0.454515491101,0.346666666667
DAL,1992,0.30487804878,0.291890034364
DAL,1993,0,0.158536585366
DAL,1994,0,0.476900866218
DAL,1995,0.439024390244,0.476900866218
